repo,score
ivangfr/api-oha-benchmarker,30.0
wushuo894/EmbyPinyin,660.0
ShawnWhite666/HTimer,30.0
iamcharankumar/playwright_test_framework,292.5
hexaredecimal/BlazingWebX,367.5
Alumopper/Datapack-Debugger,322.5
xeruvimov/jproblem,167.5
vittorioPiotti/PathGraph-JavaFX,80.0
AtlasEngineCa/AtlasProjectiles,360.0
Noble-Lab/Carafe,130.0
diommsantos/QtREAnalyzer,37.5
depromeet/Swimie-server,2615.0
Kei-Luna/LunaGC_5.0.0,225.0
Ch0pin/stheno,42.5
coinbase-samples/advanced-sdk-java,140.0
CaiJi-ikun/DG_LAB,330.0
Tutorials-By-Kaupenjoe/Fabric-Tutorial-1.21.X,1647.5
wyatt-herkamp/too-many-shortcuts,627.5
developer-krushna/AXMLPrinter,87.5
scordio/jimfs-junit-jupiter,180.0
thomasmueller/bau-lang,37.5
AikidoSec/firewall-java,1732.5
CompilerProgramming/ez-lang,302.5
advent-of-craft/2024,142.5
pietro-lopes/AllTheLeaks,130.0
re-zero001/LSPosed-Irena,172.5
Patbox/mrpack4server,302.5
Shenzhen-Robotics-Alliance/maple-sim,1337.5
yashksaini-coder/August-Leetcode-Daily-2024,90.0
GlowskiBroski/PhoenixClient,192.5
TianXuan-Chain/thanos-demo,30.0
yashksaini-coder/October-Leetcode-Daily-2024,30.0
PramodDutta/LearningATB7xJavaPrograms,60.0
xxDark/Deencapsulation2,30.0
Hindhuja-V/DBMS-System-project,30.0
ProyectosCoPersonales/Scalable-E-Commerce,30.0
praveen1994dec/scenario_based_learnings,30.0
ngntu10/OptiMart,97.5
GuyApooye/ClockworkAdditions,190.0
novysodope/javaeasyscan,92.5
apple/music-feed-examples,37.5
des-felins/spring-modulith-demo,52.5
microsoft/semantic-kernel-java,1897.5
zilliztech/vts,1055.0
Roger-Lv/data-switch-with-Netty,60.0
wenbochang888/short-url,105.0
Giovds/outdated-maven-plugin,455.0
AlohaRaycin808/Minecraft-Vape,87.5
louie-velarde/DevQS,75.0
jiangnanboy/llm_security,30.0
alibaba/spring-ai-alibaba,3277.5
esmaeilsadeghijob/Benchmarking-Consensus-Mechanisms-in-Microservice-Compotition,290.0
EthanolMC/EthanolMod,747.5
J4C0B3Y/CommandAPI,280.0
Exclude0122/xivpn,755.0
bilirz/maomod,217.5
Cap-go/capacitor-social-login,1040.0
danvega/spring-ai-workshop,120.0
timschneeb/jadx-type-diagram-plugin,130.0
Softwerkskammer-Linz/SoCraTesAT-2024,232.5
Hindhuja-V/devOps-project,30.0
xsreality/abstractness-instability-calculator,127.5
IAFEnvoy/IceAndFire-Fabric,42.5
sivaprasadreddy/tomato-architecture-spring-boot-demo,42.5
Benojir/Caller-ID,292.5
convisolabs/CVE-2024-43044-jenkins,102.5
MrXian763/friends-matching-backend,30.0
DorianMazur/react-native-keychain-manager,317.5
bty834/spring-tx-message,30.0
KoshakMineDEV/ICSTD,147.5
wansors/myfaba-hacks,110.0
ab5tract/comma-plugin,2332.5
esmaeilsadeghijob/Raft-Consensus-in-Microservice-Composition,80.0
aquestry/Nebula,82.5
prateek27/design-patterns-java,30.0
ArtyomKingmang/Lino,30.0
flowinquiry/flowinquiry-server,562.5
ivanyu/kafka_wire_protocol,497.5
Lunatix01/ragscan,100.0
garciia28/CoinMarketCapSniper,80.0
xdev-software/vaadin-grid-filter,755.0
SAP/ai-sdk-java,2800.0
Mark-Langston/Marks_Computer_Builds_Remote,30.0
0WhiteDev/Java-Process-Inspector,80.0
cyllective/malfluence,30.0
jezyk12/Minecraft-Impact,80.0
Team846/FunkyLogClient,287.5
TeamDATEROAD/DATEROAD-SERVER,5072.5
ImgoodWK/Hyperdimensional-Tech,100.0
niqumu/Irminsul,37.5
pmoustopoulos/customer-api,82.5
FRC-team5449/FRC-2025-Elective-Prototype,30.0
sculkmp/Sculk,740.0
VelixDevelopments/Imperat,1022.5
aws-samples/iceberg-streaming-examples,122.5
mqttsnet/open-exp-plugin,200.0
xk-dragonfly/xk-RPC,30.0
DuncanRuns/Jingle,1000.0
frknkrc44/SmartPiXelsPosed,37.5
Swifter1243/BeatCraft,120.0
spring-projects-experimental/spring-grpc,617.5
Rapter1990/springbootmicroserviceswithsecurity,37.5
hstr0100/GDownloader,1192.5
kuba6000/AE2-Web-Integration,645.0
sidd-harth/jenkins-hello-world,82.5
fglock/PerlOnJava,780.0
bambosan/MaterialBinLoader-Apk,170.0
Abdelrhman-Ellithy/Ellithium,580.0
Roadhog360/SimpleSkinBackport,105.0
davidtos/LIO_old,150.0
aliFetvaci61/credit-finance-application,55.0
kousiknath/Concurrency,30.0
Tencent/TencentKona-21,410.0
XinCaoZ/RouteVulScanPlus,105.0
jumpserver/chen,2102.5
BulPlugins/BulMultiverse,77.5
wchwawa/Java-Agents-Webapp,512.5
FireflyClub/FireflyCore,60.0
BubblingXuYijie/secure-api-spring-boot,115.0
Kei-Luna/LunaGC_4.7.0,102.5
cosad3s/salsa,210.0
Bram1903/TotemGuard,497.5
ing-bank/INGenious,315.0
vagabond-systems/forage-midas,262.5
rayokota/kwack,995.0
17TheWord/QueQiao,567.5
sivaprasadreddy/spring-modular-monolith,190.0
chainbase-labs/manuscript-core,1100.0
alex0x08/no-frameworks,30.0
apripista/java,30.0
ReadingGod/Minecraft-Vape-Lite,80.0
Hindhuja-V/bluetooth-home-automation,30.0
KirDemorgan/BeatSaberDsBot,30.0
guiYMOUR/Mindustry-LotteryMod,130.0
Rapter1990/rolepermissionexample,30.0
daotq2000/spotify-be-public,30.0
MartinxMax/S-Clustr,130.0
Alek-paint/Raven-B,80.0
ashokitschool/springboot_whatsapp_api_integration,30.0
TEAM-SEONYAK/SEONYAK-SERVER,737.5
rostopira/bt_qs,80.0
Sublemon-Team/Subvoyage,432.5
snackbag/TT20,660.0
gebz97/mandulis-ticketing-system,690.0
cao-awa/Sepals,730.0
ngud-119/Social-Network,30.0
lopcode/vips-ffm,2720.0
MemoryZy/Json-Assistant,1515.0
developer-krushna/XML-Formatter,80.0
myth-MC/banco,1530.0
CallmeSHaobe/123Technology,1020.0
vgskye/e4mc-minecraft-architectury,320.0
NanoNative/nano,745.0
Matt-MX/DisplayNameTags,622.5
Sigma-Skidder-Team/SigmaRemap,592.5
HiveGamesOSS/Chunker,1157.5
wb04307201/easy-ai-spring-boot-starter,67.5
Mino260806/KeyboardGPT,927.5
project-au-lait/svqk,750.0
tomaytotomato/location4j,552.5
zziger/obs-overlay,542.5
Ilya3point999K/ThaumicConcilium,140.0
nextopcn/swiss-map,90.0
nhn2004/ProyectoED,42.5
panic08/funpay4j,1060.0
ivangfr/spring-boot-grpc-client-server,30.0
Kiranwaghmare123/PG-DAC-Aug2024,30.0
timosalm/spring-ai,67.5
Asher-Ul-Haque/Just_Forge_2D,290.0
Berikai/bitwig-theme-editor,592.5
qifan777/dive-into-spring-ai,145.0
IBM/sonar-cryptography,1935.0
Tutorials-By-Kaupenjoe/Forge-Tutorial-1.21.X,1602.5
DEVS-MARKET/Desktop-GifDisplay,92.5
Infinicraft-Mod/infinicraft,260.0
mikechenczy/LeapRemote-Server-Public,30.0
Zorbatron/ZBGT,3495.0
PortSwigger/bypass-bot-detection,345.0
quarkiverse/quarkus-temporal,1542.5
Rapter1990/ratelimiter,30.0
NerminKarapandzic/spring-boot-nextjs-starter-kit,92.5
phegondev/Ecommerce-Springboot,105.0
BlueStaggo/moderner-beta,1817.5
unitycatalog/unitycatalog,6507.5
HuberHaYu/HXPlayer,242.5
P-25/react-native-notification-reader,30.0
omerstyle/Minecraft-Moon,80.0
shire-lang/shire-demo,60.0
tbvns/GhostTrainer,142.5
LDemetrios/Kvasir,42.5
michael-ameri/gemini-api,495.0
Doom9527/aristotle-webservice,522.5
MaxBogomol/FluffyFur,45.0
KirDemorgan/desaAPI,60.0
h1tm4nqq/Nhack-theme,220.0
abhilashgowda23/E-CommerceOnlineShopping,165.0
Farooquekk/DSA-IN-JAVA,60.0
LDAx2012/CSAgent,80.0
Benojir/Fogplix-Anime,255.0
graalvm/graal-languages-demos,245.0
vinci-grape/ThinkRepair,42.5
aws/amazon-q-eclipse,3247.5
clerk/clerk-sdk-java,1817.5
NEZNAMY/VelocityScoreboardAPI,555.0
Endalion/trackwork,135.0
LnYo-Cly/ai4j,1207.5
Potion-Studios/Oh-The-Biomes-Weve-Gone,2667.5
SaiUpadhyayula/spring-boot-3-microservices-course,105.0
sava-software/sava,37.5
52jing/wang-template-backend,30.0
CDSecLab/MJXT,30.0
AutoMQ/kafka-provider-comparison,80.0
ssquadteam/Earth,30.0
marcusmonteirodesouza/realworld-backend-spring-boot-java-keycloak-postgresql,142.5
ssquadteam/Geyser-Anvil-Fix,142.5
hakdang/cassdio,952.5
Bottle-M/PotatoPeeler,130.0
ifahimkhan/MapApp,97.5
ITsMrToad/PalladiumMod,135.0
C0de-cake/whatsapp-clone-backend,30.0
westwong/westDao,280.0
7amo10/Complete-Data-Structures-and-Algorithms-tutorial,30.0
vaccovecrana/frag-falcon,597.5
chengpeng-wang/LLMDFA,37.5
Team-Hankki/hankki-server,1175.0
MeteorClientPlus/MeteorPlus,895.0
maeddes/hse-24-winter,37.5
marieemoiselle/CS211-OOP-samples,30.0
chriskiehl/Data-Oriented-Programming-In-Java-Book,30.0
aviraxp/Zygisk-KeystoreInjection,55.0
tree-sitter/java-tree-sitter,487.5
EmbarkXOfficial/spring-security-masterclass,30.0
kaiachain/kaia-sdk,1782.5
great-jin/windows-process,180.0
Aimirim-STI/4diac-Plugin-UAORT,302.5
Infatoshi/mc-labeller,30.0
joshlong-attic/2024-bootiful-spring-workshop,30.0
gufranthakur/CodeLite,87.5
OmniOneID/did-demo-server,215.0
Spigot-Plugin-Development-Tutorial/security-cam,30.0
ashokitschool/Microservices_Zero_To_Hero,45.0
FlavorMate/flavormate-server,675.0
jiangnanboy/text_security_audit,67.5
gc-garcol/lmax-disruptor-bank,330.0
AbdurazaaqMohammed/revanced-antisplit,192.5
hippietrail/RetroGhidra,307.5
OMZigak/KKUMER,907.5
ThatMG393/legacy-vulkanmod,30.0
NabihaShujaat/Wurst,80.0
hoangsonww/Employee-Management-Fullstack-App,150.0
czelabueno/langchain4j-workflow-examples,30.0
AsadiAhmad/Square-root-DC,30.0
Eve-146T/EVILSPIN,312.5
HMYDK/AIGitCommit,602.5
IBM/cbomkit,935.0
Jojoooo1/project-assignment,247.5
8MiYile/LSPatch-OP,55.0
DancingSnow0517/Minecraft-DG-LAB,1660.0
Shenzhen-Robotics-Alliance/Maple-Swerve-Skeleton,510.0
BacconKam/Minecraft-Vape,30.0
smithy-lang/smithy-sparrowhawk-java,30.0
MaleeshaMAdhushanka/CinnaCraftPro-layered,30.0
lalakii/LaLauncher,210.0
JavaaTechSolutions/movie-ticket-booking-system,30.0
chuigda/vulkan4j,297.5
Vishwajeet-Londhe/SPPU-CSE-SEM5-Codes,37.5
Sarthakverse/Jwt-Authentication-Authorization-for-SpringBoot-3.3.0,30.0
gregsh/parallel-zip,30.0
unbrraise/Meteor-Client-addons-CH,80.0
chamithKavinda/Coffee-Shop-POS-JavaEE-Backend,30.0
algorithm-tools/ad4j,145.0
Jire/tarnish,55.0
TEAM-DAWM/NUTSHELL-SERVER,1165.0
Tencent/nf-tencentcloud,360.0
Yimura/FridaMgr,357.5
pdudits/jakarta-mvc-unpoly,60.0
laziobird/CodeLLMEval,30.0
DGVPSH/SlackOpen,842.5
Saum112/JavaDevInterviewPrep,30.0
shasankp000/AI-Player,437.5
hhy50/reflect-linker,67.5
Nutika16/Bank_Management,50.0
mvitz/beyond-spring-boot-testing,30.0
drjeffgeoff/javaprojects,50.0
SijiaCui/play-urts,90.0
indrakishore/Developers-Community,1252.5
starobot/LegoClient,142.5
Rapter1990/todowithcouchbase,180.0
wimdeblauwe/vite-spring-boot,345.0
BL00DY-C0D3/Echo-VR-Installer,782.5
GAME-CLI-SRV-DEV/ViaVersionProtocolSupport,395.0
hanhuoer/maa-framework-java,90.0
DJ-Raven/swing-modal-dialog,605.0
stephengold/jolt-jni,817.5
FamroFexl/Circumnavigate,592.5
Azure-Samples/agent-openai-java-banking-assistant,87.5
netcorepal/cap4j,542.5
Naveenk069/Fitness-Application,30.0
samuelowino/civic-education,37.5
JMagician/Magic,97.5
8ORUZ7/data-structure-and-advance-algorithm,30.0
zdx0122/playwright-screenshot-api,45.0
yananhub/flying-gradle-plugin,287.5
UniMelb-COMP90018/COMP90018-Tutorials-2024,30.0
prameswaraandhika/vendor-management-system-rest,75.0
minecraft8997/TennessineC,180.0
Konloch/Jaxon,180.0
kiryu1223/drink,30.0
liyao-l-y/ICEDroid,67.5
Micro-STAMP/microstamp,772.5
SE10-IJSE/SE10-NETWORK-BACKEND,552.5
kopytovskiy/companero-bot,380.0
apache/pulsar-java-contrib,125.0
depromeet/WalWal-server,6860.0
Karabosithole/LearnJavaSnakeGame,130.0
datastaxdevs/conference-2024-devoxx,30.0
We-Cant-Coding/TACZ-Fabric,480.0
ahmedhussein107/Pupils-Plan-W25,37.5
hollow-cube/luau-java,235.0
rspace-os/rspace-web,2482.5
rzando-org/GitHub-Chinese-Top-Charts,30.0
med-united/epa4all,747.5
pedroksl/AdvancedAE,4242.5
ferriarnus/Monocle,135.0
Moulberry/Flashback,217.5
keycloak/keycloak-client,760.0
eschnou/OpenGPA,252.5
Atharvkote/DSA-Mini-Projects,30.0
ivangfr/web-reactive-jvm-native-cds-aot-virtual-threads,30.0
BryanGIG/BypassDANA,267.5
yashksaini-coder/September-Leetcode-Daily-2024,75.0
tuskev1ch/minced-1.20.4,92.5
AllenDengMs/isme-java,42.5
mazen-salah/Mobile-application-development-course-content,30.0
JacobChikwanda/object-oriented-programming,30.0
depromeet/15th-Spring-Test-Study,495.0
egecanakincioglu/name-fix-minecraft-plugin,30.0
hangga/sample-usaidbox,30.0
ahisec/geoserver-,52.5
kdalton0518/Microservices-kafka-SpringBoot,30.0
Sun-12138/comfyui-spring-boot,42.5
czelabueno/jai-workflow,302.5
dougdonohoe/ddpoker,520.0
kousen/AiJavaLabs,37.5
IMB11/Fog,1265.0
lightning2401/northstar,1142.5
HiveGamesOSS/leveldb-mcpe-java,137.5
atharva7803/Accenture-Previous-Year-Coding-Questions-,30.0
randomguy3725/MoonLight,207.5
processing/processing4,3895.0
codetyio/codety-scanner,2677.5
devjlkeesh/httpserver,30.0
a7med3del1973/Fawry-Internship,30.0
omaeewa/TGram,75.0
hellyguo/rust_java_samples,30.0
zhkl0228/impersonator,292.5
btraceio/jafar,187.5
reveny/Protecttai-Bypass,125.0
yangbuyiya/coze-sdk-java,75.0
datafor123/datafor-free,80.0
apache/maven-hocon-extension,127.5
C0de-cake/ecommerce-app,30.0
MikuMC/ZetaUtils,37.5
thypon/eLauncher,210.0
Rdiger-36/StudioBridge,442.5
ronin-engineer-88/airbnb,270.0
Tutorials-By-Kaupenjoe/NeoForge-Tutorial-1.21.X,1602.5
quarkusio/quarkus-workshop-langchain4j,210.0
Mixeway/Flow,530.0
yzsvdu/RedTrainer,242.5
syncliteio/SyncLite,375.0
mq-soft-tech/comp2000_2024,420.0
starobot/StaroEventSystem,137.5
LAC-Japan/Ghidra_AntiDebugSeeker,180.0
cashfree/kafka-delayed-queue,80.0
sivaprasadreddy/spring-realworld-conduit-api,192.5
MrzDemon/Minecraft-Meteor,80.0
aemisigna/hololiveid-kaela-event-public,80.0
nguyenthanhhy0108/Web-Personal-Project-BE,240.0
alpapie/piscine-java-test,30.0
techsenger/jeditermfx,80.0
line/Flagship4j,90.0
justine6/https-github.com-ashishps1-awesome-system-design-resources,60.0
vladmihalcea/high-performance-jooq,30.0
wkorando/loominated-java,37.5
Mangolise/mango-anti-cheat,30.0
keyhana/c166-ghidra-module,175.0
OSUSecLab/BaseMirror,30.0
Conan924/NacosExploit,142.5
hoangtien2k3/reactify-core,1000.0
oracle/sandwood,117.5
iw2d/kinoko,327.5
HChenX/HiMiuiX,30.0
Bharat2044/Striver-A2Z-DSA-Sheet-Solution-using-JAVA,30.0
iipc/warcaroo,92.5
chengpeng-wang/LLMSAN,42.5
gejun123456/HotSwapHelper,292.5
writingtool-org/writingtool,387.5
canyie/MagiskEoP,30.0
jtang613/GhidrAssist,740.0
siddharthsky/CustTermux,1280.0
macdao/hands-on-clean-architecture-template,30.0
