repo,releases,pulls,open_issues,branches,has_workflows,has_release_workflow,w_simplicity,tests
EasonLyo/sigma,1,0.0,0,1,0.0,0.0,-1.35,0.0
NovaLogics/skills-training-cli-java,0,1.0,0,2,0.0,0.0,1.0,0.0
taoofagi/easegen-admin,0,0.0,0,2,0.0,0.0,1.0,1035.0
kushanb/oop-lec-2024,0,0.0,0,1,0.0,0.0,1.0,0.0
awslabs/s3-tables-catalog,5,24.0,9,5,1.0,0.0,-2.95,23.0
stephanj/Llama3JavaChatCompletionService,0,1.0,0,1,0.0,0.0,1.0,3.0
Jplamo13/Wurst,1,0.0,0,1,0.0,0.0,1.0,0.0
coralblocks/CoralQueue,0,0.0,0,1,0.0,0.0,1.0,9.0
danvega/spring-boot-oauth-demo,0,1.0,2,1,0.0,0.0,1.0,0.0
operaton/operaton,4,334.0,40,18,1.0,0.0,-6.800000000000001,22118.0
adsoftsito/competitive_programming,0,0.0,0,1,0.0,0.0,1.0,0.0
danvega/jte-forms,0,1.0,0,1,0.0,0.0,1.0,0.0
maeddes/hft-24-winter,0,0.0,0,1,0.0,0.0,1.0,0.0
Team254/FRC-2024-Public,0,0.0,0,1,0.0,0.0,1.0,2.0
cibseven/cibseven,3,38.0,1,143,1.0,0.0,-7.6,22130.0
Halfmoonly/feignx-plugin,11,1.0,3,2,0.0,0.0,1.0,0.0
Smart-Shaped/chaM3Leon,0,18.0,0,7,0.0,0.0,1.0,153.0
jtaccuino/jtaccuino,1,23.0,4,1,1.0,1.0,-5.85,0.0
Hirun4/music-app,0,0.0,3,1,0.0,0.0,1.0,0.0
Arfifias/Equees_men,0,0.0,0,1,0.0,0.0,1.0,0.0
ionutbalosin/java-application-security-practices,0,0.0,0,2,0.0,0.0,1.0,0.0
mkpaz/devtoolsfx,0,0.0,1,1,0.0,0.0,1.0,0.0
DVSR1411/onlinebookstore,0,0.0,0,1,0.0,0.0,1.0,0.0
Blueblue1101/SmartFlightCheckInKiosk,0,1.0,0,1,0.0,0.0,1.0,17.0
ChHsiching/GitHub-Chinese-Top-Charts,0,1.0,0,1,0.0,0.0,1.0,0.0
mamiiblt/instafel-updater,6,6.0,1,1,0.0,0.0,-2.15,2.0
microsoft/PyRIT-Ship,0,2.0,0,1,0.0,0.0,1.0,0.0
Funtimes909/ServerSeekerV2,0,3.0,0,2,0.0,0.0,1.0,0.0
langchain4j/langchain4j-community,3,34.0,11,3,1.0,0.0,-5.300000000000001,179.0
singlr-ai/nocaptcha,0,0.0,1,1,0.0,0.0,1.0,13.0
eazybytes/event-driven-microservices,0,0.0,0,1,0.0,0.0,1.0,0.0
Ayush7-BIT/turbo-robot,0,502.0,122,1,0.0,0.0,-0.9,1.0
a8anassis/CF7-Testbed,0,0.0,0,1,0.0,0.0,1.0,0.0
RoastSlav/quickdrop,3,2.0,7,2,0.0,0.0,1.0,0.0
sionpardosi/Student-Learning-Hub-Aplikasi-Sederhana-Latihan-Belajar-Mahasiswa-Berbasis-JAVA,0,0.0,0,1,0.0,0.0,1.0,0.0
anshumansinha3301/Stock-Trading-Simulation,0,1.0,0,2,0.0,0.0,1.0,0.0
hamsterbase/Burrow-UI,2,4.0,0,3,0.0,0.0,1.0,0.0
coderphonui/jsonautorepair,2,3.0,0,1,1.0,0.0,-3.2,21.0
GluuFederation/gluu4,1,67.0,10,8,1.0,1.0,-9.75,2033.0
ReSpouted/OldSpoutLauncher,2,1.0,0,1,0.0,0.0,1.0,0.0
arya2004/leetcode-daily-october-hacktoberfest-2024,0,73.0,31,1,0.0,0.0,1.0,0.0
tzolov/spring-ai-cli-chatbot,0,0.0,0,1,0.0,0.0,1.0,0.0
Alireza-Moh/whisperer_for_laravel,7,24.0,0,4,0.0,0.0,1.0,0.0
BountySecurity/GBountyProfilesDesigner,3,0.0,1,1,0.0,0.0,1.0,0.0
Maharramoff/cross-field-validation,0,0.0,0,1,0.0,0.0,1.0,17.0
danvega/java-rag,0,0.0,0,1,0.0,0.0,1.0,0.0
AdamBien/best-of-java-shorts,0,1.0,2,1,0.0,0.0,1.0,0.0
rewerma/ares,0,3.0,0,4,0.0,0.0,-0.4,40.0
AxalotLDev/Async,13,2.0,6,8,0.0,0.0,-1.4,0.0
quarkiverse/quarkus-infinispan-embedded,2,11.0,9,1,1.0,1.0,-3.2,12.0
JesusMiramontes/Heartbeatrr,0,0.0,0,1,0.0,0.0,1.0,0.0
mcbrawls/inject,14,1.0,0,3,0.0,0.0,1.0,0.0
pivovarit/more-gatherers,0,65.0,0,4,1.0,0.0,-4.300000000000001,74.0
bowbahdoe/color,6,0.0,0,1,1.0,1.0,-1.8,32.0
CraftJarvis/ROCKET-1,0,0.0,0,3,0.0,0.0,1.0,0.0
anonystick/JAVA-ecommerce-backend-api-MEMBER,0,6.0,0,1,0.0,0.0,1.0,0.0
VarunReddyT/Pre-FS,0,4.0,0,2,0.0,0.0,1.0,0.0
vishalkrishnaagQwy/VipLang,1,4.0,0,2,0.0,0.0,1.0,0.0
KevenJAntenor/Quebec-Centralized-Medical-Record-System,0,0.0,0,1,0.0,0.0,1.0,14.0
NisenoShitsu/HololiveDesktop,1,0.0,3,1,0.0,0.0,1.0,0.0
danvega/golf-scheduler,0,0.0,0,1,0.0,0.0,1.0,0.0
The-Nefarious-Developer/zjoule,9,30.0,0,1,0.0,0.0,-2.65,210.0
samanL33T/jadx-xvision-plugin,2,0.0,0,2,0.0,0.0,1.0,1.0
Liubsyy/VisualClassBytes,1,0.0,0,1,0.0,0.0,1.0,0.0
hungnm98/hermes,0,0.0,0,1,0.0,0.0,1.0,0.0
alibaba/fluss,1,181.0,82,4,0.0,0.0,-0.15,1078.0
swstarlab-infolab/ldbc-complex-benchmark,0,12.0,0,1,0.0,0.0,1.0,29.0
adelelawady/beat-stream,1,0.0,1,1,0.0,0.0,1.0,325.0
szeiger/perfio,1,0.0,1,1,1.0,1.0,-2.8,0.0
hamzalamin/ITLens,0,1.0,0,16,0.0,0.0,1.0,19.0
dizzydroid/DesignPatternsNutshell,0,0.0,0,1,0.0,0.0,1.0,0.0
raphw/build-buddy,0,0.0,0,1,0.0,0.0,1.0,132.0
dbeaver/dbeaver-jdbc-libsql,0,9.0,3,11,1.0,0.0,-0.3500000000000001,0.0
martinellich/jooq-spring,2,1.0,0,3,1.0,0.0,-2.2,0.0
wheslleyrimar/BuildCLI,0,49.0,20,3,0.0,0.0,1.0,5.0
Nappxy/Evon-Executor,1,0.0,0,1,0.0,0.0,1.0,0.0
marcushellberg/spring-ai-examples,0,0.0,0,1,0.0,0.0,1.0,0.0
StephenIsTaken/NexusOpen,0,0.0,0,1,0.0,0.0,1.0,0.0
ChHsiching/GitHub-Chinese-Top-Charts-Classified,0,0.0,0,1,0.0,0.0,1.0,0.0
owenwijaya22/PennyWise,0,0.0,0,2,0.0,0.0,1.0,149.0
OmniOneID/did-ta-server,1,13.0,0,2,1.0,0.0,-4.75,38.0
HeZephyr/RPC-Java,0,5.0,0,2,0.0,0.0,1.0,18.0
NanowarOfSteel/HelloWorld,0,32.0,14,1,0.0,0.0,-2.15,3.0
MeoMunDep/Node-Wars,0,0.0,1,1,0.0,0.0,1.0,0.0
duzhaokun123/YAPatch,10,0.0,1,1,0.0,0.0,1.0,0.0
Trisitana/hudilao_back_end,0,0.0,0,1,0.0,0.0,1.0,0.0
PaperMC/Paper-archive,1,0.0,0,17,1.0,0.0,-4.3500000000000005,1.0
NoelToy/automatic-relationship-finder,2,2.0,1,2,0.0,0.0,1.0,1.0
OmniOneID/did-issuer-server,1,18.0,0,3,1.0,0.0,-4.75,12.0
xiegangqingnian1021/devops,0,0.0,0,1,0.0,0.0,1.0,0.0
SongJian-99/dj-uav,0,0.0,2,2,0.0,0.0,1.0,0.0
luelueking/CVE-2022-25845-In-Spring,0,0.0,1,1,0.0,0.0,1.0,0.0
niccellular/baretoot,1,0.0,0,1,0.0,0.0,1.0,56.0
IxionLang/Ixion,0,4.0,0,1,0.0,0.0,1.0,0.0
algorithm-tools/CausalAnalysis,0,0.0,0,1,0.0,0.0,1.0,0.0
Aenjieee/Chess-Rook-Movement-Simulator,0,2.0,0,2,0.0,0.0,1.0,0.0
AIDC-AI/ali-langengine,0,0.0,1,1,0.0,0.0,1.0,425.0
risin42/NagramX,0,6.0,2,4,1.0,0.0,-10.55,0.0
coralblocks/CoralRing,0,1.0,0,1,0.0,0.0,1.0,30.0
danvega/qbe,0,0.0,0,1,0.0,0.0,1.0,25.0
jar-analyzer/class-obf,8,0.0,1,1,1.0,0.0,-4.4,0.0
Raiffeisen-DGTL/zaychik-trino-proxy,0,1.0,0,1,0.0,0.0,1.0,0.0
Devilx86/jadx-ai-view-plugin,1,0.0,1,1,0.0,0.0,1.0,0.0
forteBruno/Token-Tailor,1,0.0,0,1,0.0,0.0,1.0,0.0
Hirun4/PACMAN_GAME,0,26.0,0,3,0.0,0.0,1.0,0.0
stacksimplify/docker-in-a-weekend,0,0.0,0,1,0.0,0.0,1.0,0.0
kindblayde/BlazingTool,3,0.0,0,1,0.0,0.0,1.0,3.0
alex0x08/teleporta,7,0.0,0,1,0.0,0.0,1.0,0.0
hoangpm07/SeedGn,3,0.0,0,1,0.0,0.0,1.0,3.0
velmafxx/ShadowTool,3,0.0,0,1,0.0,0.0,1.0,3.0
Lordsatanthenuker/DiscordUniverse,0,0.0,0,1,0.0,0.0,1.0,3.0
GwenStasee/SilenceGen,3,0.0,0,1,0.0,0.0,1.0,3.0
ilevd/cwp,0,0.0,0,1,0.0,0.0,1.0,0.0
Aunali321/ReVancedExperiments,23,12.0,0,3,1.0,0.0,-4.5,0.0
Pitayafruits/kafka-dog,1,18.0,0,2,0.0,0.0,1.0,0.0
seebi70/PurpleStar,3,0.0,0,1,0.0,0.0,1.0,3.0
HttpMarco/netline,1,2.0,0,3,0.0,0.0,-0.65,23.0
trinitylake-io/trinitylake,0,28.0,6,2,0.0,0.0,-1.65,1.0
vova7878-modules/ScreenshotsEverywhere,4,0.0,0,1,0.0,0.0,1.0,0.0
justin0kg/VirtualApp202410,0,0.0,1,1,0.0,0.0,1.0,53.0
snowy2121/Solana-Token-Creator,3,0.0,0,1,0.0,0.0,1.0,3.0
Jeremiahcheng1206/AML-Monitoring-Engine,0,0.0,0,1,0.0,0.0,1.0,1.0
ItsMadruga/WaRevamp,7,4.0,1,2,0.0,0.0,-2.15,0.0
hoangsonww/Software-Design-Patterns,0,0.0,0,1,0.0,0.0,1.0,162.0
ddaakk/docker-boot,1,0.0,0,1,0.0,0.0,1.0,0.0
digicert/domain-control-validation,2,16.0,1,3,1.0,1.0,-10.3,174.0
Mdzin007/Bombie-autoclicker,3,0.0,0,1,0.0,0.0,1.0,3.0
MR-MaoJiu/ali_ai_call,0,0.0,1,1,0.0,0.0,1.0,1.0
apache/arrow-java,0,62.0,400,12,1.0,1.0,-10.75,1045.0
openpdfsaucer/openpdfsaucer,2,0.0,1,2,1.0,0.0,-2.45,317.0
sparrowwallet/larkapp,1,0.0,0,1,0.0,0.0,-1.6,0.0
fakerUNcode/story-writer,0,54.0,0,2,0.0,0.0,1.0,0.0
Soar-Client/Legacy-SoarClient,1,4.0,2,1,0.0,0.0,1.0,0.0
bakiayman/HashCats-autoclicker,3,0.0,0,1,0.0,0.0,1.0,3.0
fredpena/vaadin-flow-lab,0,1.0,2,2,0.0,0.0,1.0,0.0
hangga/delvelin,6,15.0,1,1,0.0,0.0,1.0,0.0
huangsam/photohaul,0,4.0,0,1,0.0,0.0,-0.65,0.0
alexdmiller/shape-mapper,8,0.0,0,3,1.0,1.0,-4.85,0.0
hassanwasfy/iTell,3,0.0,0,1,0.0,0.0,1.0,0.0
tttsaurus/Ingame-Info-Reborn,6,3.0,0,1,0.0,0.0,-0.65,0.0
cxxsheng/CVE-2022-20474,0,0.0,0,1,0.0,0.0,1.0,2.0
hacimertgokhan/denis,11,0.0,0,1,0.0,0.0,-0.15,0.0
GlideClient/client,1,3.0,1,2,0.0,0.0,-0.65,0.0
JetBrains/jitwatch4i,0,0.0,1,1,0.0,0.0,1.0,0.0
patchescamerababy/ChatOn2API,0,1.0,3,1,0.0,0.0,1.0,0.0
danvega/repo-content-generator,0,1.0,1,2,0.0,0.0,1.0,6.0
esmaeilsadeghijob/Application-of-Consensus-Algorithms-in-Improving-the-Scalability-of-Microservice-Architecture,2,8.0,0,4,1.0,0.0,-1.7,0.0
DebitCardz/packet-logger,3,0.0,1,1,0.0,0.0,1.0,0.0
developer-krushna/MT-Document-Provider-Injector,0,0.0,0,1,0.0,0.0,1.0,0.0
CH3COOK2023/Java-Hand-Writing-Digit-Recognition-Application,0,0.0,0,1,0.0,0.0,1.0,0.0
Pedro-Pathing/Quickstart,8,4.0,0,1,0.0,0.0,1.0,0.0
LegacyLands/legacy-lands-library,0,3.0,0,1,1.0,0.0,-4.95,0.0
MikhailSterkhov/broadcast-engine,5,0.0,0,8,0.0,0.0,1.0,0.0
hoangsonww/Akari-Puzzle-Game-JavaFX,0,0.0,0,1,0.0,0.0,1.0,27.0
xcancloud/AngusTester,0,0.0,0,1,0.0,0.0,1.0,4.0
Peharge/learn-java,0,0.0,0,1,0.0,0.0,1.0,0.0
Spec-JohnXina/Vape-v4.16,0,0.0,0,1,0.0,0.0,1.0,0.0
ali-bouali/game-store-application,0,4.0,0,1,0.0,0.0,1.0,0.0
Kalpu-24/SnakeWall,1,13.0,2,2,1.0,0.0,-3.7,2.0
bowbahdoe/jdk-httpserver-realworld,0,0.0,1,1,0.0,0.0,1.0,0.0
springaialibaba/spring-ai-alibaba-examples,0,38.0,0,1,0.0,0.0,0.1,2.0
Xposed-Modules-Repo/com.my.televip,7,1.0,0,1,0.0,0.0,1.0,0.0
3000IQPlay/AntiRAT-21,1,0.0,0,1,0.0,0.0,1.0,2735.0
elsese123/Roblox-Unblocked,3,0.0,0,1,0.0,0.0,1.0,3.0
davidtos/JUring,0,1.0,0,2,0.0,0.0,1.0,13.0
danvega/scm-workshop,0,0.0,0,5,0.0,0.0,1.0,7.0
AugmentOS-Community/AugmentOS-Example-App,0,0.0,0,1,0.0,0.0,1.0,2.0
mustafa1dev/TeleVip-Lsposed,7,0.0,20,1,0.0,0.0,1.0,0.0
quoc10973/Watch-Store-Management,0,0.0,0,1,0.0,0.0,1.0,0.0
hoangsonww/Game-2048-JavaFX,0,0.0,0,1,0.0,0.0,1.0,8.0
KelvenCassamo/java-language-system,3,4.0,1,3,0.0,0.0,1.0,0.0
WinterAlexander/HanziResourcePack,1,0.0,3,1,0.0,0.0,1.0,0.0
brianpipa/OverdriveMP3Downloader,2,1.0,1,1,0.0,0.0,1.0,0.0
meysamhadeli/booking-microservices-java-spring-boot,0,28.0,0,1,0.0,0.0,1.0,0.0
damithch/DamithPayment,0,0.0,0,1,0.0,0.0,1.0,0.0
tzolov/voice-assistant-chatbot,0,0.0,0,1,0.0,0.0,1.0,0.0
Flectone/FlectonePulse,4,0.0,0,1,0.0,0.0,-1.65,0.0
Randypro123/Roblox-Wiki,3,0.0,0,1,0.0,0.0,1.0,3.0
oddbyte/Unweaken,1,0.0,0,1,0.0,0.0,-0.9,0.0
rythmaryan/OOPS_Class_Codes,0,0.0,0,1,0.0,0.0,1.0,0.0
isinvon/gold-foil-font-api,3,0.0,0,3,0.0,0.0,1.0,0.0
ivangfr/spring-boot-user-pass-auth-one-time-token-login,0,0.0,0,1,0.0,0.0,1.0,0.0
coze-dev/coze-java,7,23.0,1,1,1.0,1.0,-2.6,106.0
openbpm-platform/openbpm-control,0,1.0,0,2,0.0,0.0,1.0,2.0
mercadolibre/challenge-sbpo-2025,0,0.0,1,1,0.0,0.0,1.0,0.0
Intelligent-CAT-Lab/AlphaTrans,1,4.0,0,1,0.0,0.0,1.0,16876.0
JiHongKim98/redis-extensions,1,0.0,0,2,0.0,0.0,1.0,0.0
mariofusco/site-summarizer,0,2.0,1,1,0.0,0.0,1.0,0.0
liurui-software/ojr,5,7.0,0,1,0.0,0.0,1.0,33.0
B0T1eR/ysoSimple,1,0.0,0,1,0.0,0.0,1.0,0.0
sdeigm/uni-meter,0,16.0,1,27,0.0,0.0,1.0,1.0
project-material/Videos,1,0.0,0,1,0.0,0.0,1.0,0.0
horaciomuller/event-api,0,2.0,0,3,0.0,0.0,-1.15,0.0
spring-projects-experimental/spring-ai-mcp,8,33.0,5,6,1.0,1.0,-8.2,0.0
skycatminepokie/FabricBinarySearchTool,9,0.0,6,3,0.0,0.0,1.0,0.0
Pedro-Pathing/PedroPathing,8,11.0,0,2,0.0,0.0,-2.15,0.0
Revxrsal/Zapper,4,2.0,0,1,1.0,0.0,-2.2,0.0
cattyngmd/CatFormat,6,1.0,2,2,0.0,0.0,-0.65,4.0
chebuya/minegrief,0,0.0,1,1,0.0,0.0,1.0,0.0
yegor256/together,6,5.0,1,1,1.0,0.0,-9.7,6.0
andressep95/SQLift,1,7.0,3,4,0.0,1.0,-2.1,10.0
Argon4W/AcceleratedRendering,0,0.0,1,1,0.0,0.0,-0.4,0.0
techsenger/stagepro,0,0.0,0,1,0.0,0.0,1.0,0.0
KOSASIH/qn-tech,0,1.0,0,2,1.0,1.0,-18.35,20.0
Tinkoprof/WurstPlusThree-Ported,1,0.0,0,1,0.0,0.0,-1.15,0.0
quarkiverse/quarkus-mcp-server,7,70.0,5,1,1.0,1.0,-4.45,52.0
ela-codes/vibin,0,0.0,5,4,0.0,0.0,1.0,38.0
george0st/Ff2Cql,0,55.0,0,2,0.0,0.0,1.0,19.0
LvStrnggg/argon,1,4.0,10,1,0.0,0.0,-0.9,0.0
SuppieRK/inject,6,12.0,0,1,1.0,1.0,-3.3,192.0
Kei-Luna/LunaGC_5.3.0,0,7.0,3,2,0.0,0.0,1.0,1.0
xdev-software/music-maven-plugin,2,16.0,0,6,1.0,0.0,-12.45,0.0
siwon1011/Evon-Executor,3,0.0,0,1,0.0,0.0,1.0,0.0
hibrahem/architecture_patterns_example,0,2.0,0,3,0.0,0.0,1.0,0.0
Mechanical-Advantage/RobotCode2025Public,0,0.0,0,1,0.0,0.0,-0.15,1.0
jarvis2f/telegram-files,13,0.0,5,2,1.0,1.0,-4.65,33.0
