repo,srs
SearchScale/lucene-cuvs,0.9999944421755337
LadyJessie19/MyFood,0.9999939791279847
sqlparser/java_data_lineage,0.9999939947161587
5ec1cff/CopySign,0.9999939791279847
karthikreddy-7/Infosys-SP-Coding-Questions,0.9999939791279847
Arfifias/Matrix_Fan_Game,0.9999939938931901
ThomasVitale/langchain4j-spring-boot,0.9999990003582081
dee-coder01/BusBuddy,0.9999983461205038
lonelytransistor/SystemUINotifier,0.999994010966489
aleixmorgadas/thin-ports-and-adapters,0.9999975139989374
Tushar-Kapil/DSA-Notes,0.9999939791279847
Gayanukaa/Spring-Boot-Playground,0.9999942775370855
ENATION-UK/page-builder,0.9999944329210424
MEEPofFaith/hallucinogen,0.9999939686958146
ErayMert/microservice-log-tracing,0.9999939791279847
borjavb/bq-lineage-tool,0.9999990106554109
uaoan/DkPlayer,0.9999944802890528
thomasdarimont/keycloak-opa-authz-demo,0.9999940581276133
CRLauncher/CRLauncher,0.9999888128204719
MetaGLM/zhipuai-sdk-java-v4,0.9999994743071255
CollaBu/pennyway-was,0.9996011373475092
arconia-io/arconia,0.9999939193197465
X1r0z/hessian-utf-8-overlong-encoding,0.9999939791279847
Mohamed-Yuta/DesignPatterns,0.9999940581276133
digitalfondue/mjml4j,0.99999584522267
chiteroman/FrameworkPatch,0.9999941470698461
habuma/spring-ai-examples,0.9999941657627724
Hunterdii/GeeksforGeeks-POTD,0.9999946644007667
Ahmad45123/workup,0.9999854762988648
SarthakChaudhary46/100-Days-Of-CODE,0.9999939791279847
GreenJAB/fixed-minecraft,0.9999946929014161
Stark-8/text-encryption-AES,0.9999944181529189
linux-china/sieve-cache,0.9999946608563995
GizaSystems/AutomationExercisePractice,0.9999883827976579
xyzbtw/StashMoverPlugin,0.9999940993145854
sweelam/api-design-and-management-talk,0.9999978744408239
GuangYiDing/BeanUtilHelper,0.9999940837263916
Kir-Antipov/cubes-without-borders,0.9999928141676994
Vadym79/AWSLambdaJavaWithSpringBoot,0.9999939791279847
JoseLion/spring-r2dbc-relationships,0.9999987412664325
CRANKV2/STRP-Profile-App,0.9999944181529189
ThomasVitale/llm-apps-java-langchain4j,0.9999939855925466
glaforge/gemini-workshop-for-java-developers,0.9999943097546481
jacobsjo/worldgen-devtools,0.9999919371178353
ptabasso2/oteljavalab,0.9999943557273082
jlokitha/Library-Management-System,0.9999946134762867
Hejow/easy-restdocs-generator,0.9999953312954531
babyfish-ct/jimmer-examples,0.9999985476644134
phyce/rl-natural-speech,0.9999940722278179
ThomasVitale/llm-apps-java-spring-ai,0.9999942344772788
Bram1903/AntiHealthIndicator,0.9999938716249289
youtrackdb/youtrackdb,0.9280849550257976
CleanroomMC/Fugue,0.9999864545612703
ErrorxCode/JxInsta,0.999994249840695
jinganix/guess,0.9999975943006738
find-xposed-magisk/LSPatch,0.999994020827653
walimorris/opensquare,0.9999207659265423
findhumane/react-native-threaded-downloader,0.999993998805802
ljmc2000/NoiseLooper,0.9999948744762873
jetty/jetty-examples,0.9999988440509495
xyzeva/ender-relay,0.9999940419333135
chamaadesilva/BookWorm-Library_Management_System,0.9999939791279847
prakarshs/Jhethia,0.9999940694739206
shnok/l2-unity-gameserver,0.9999944916910662
yiyuan9/abitoflink,0.9999946449259304
dnwwdwd/homieMatching,0.9999965172726499
JustAlittleWolf/ModDetectionPreventer,0.9999941256550571
DevBobcorn/AcryliCraft,0.9999945924545901
duckietm/Arcturus-Morningstar-Extended,0.9999941436509516
EasyG0ing1/Migration,0.9999940245435979
Katana-Official/Meta,0.9999934655866726
Cvrws/Haru,0.9999944050778858
HexArchBook/bluezone_pro,0.9999939791279847
pinterest/tiered-storage,0.9999949489024279
NguyenDuck/blocktopograph,0.9999947043743571
Anjaligaddamidi/javalab,0.9999941323046166
xflow3r/EP2-solutions,0.9999939947161587
stuetzlec/merrimack_cs_examples,0.9999939791279847
MirnaGama/hospital-management-api,0.9999944566857408
jonas-grgt/bob,0.9999959717183896
fuqiuluo/QwQ,0.999994131607004
StyraInc/opa-java,0.9999862806474129
ZJU-ACES-ISE/ChatTester,0.9999939791279847
qupath/qupath-extension-instanseg,0.9999834610169211
javpower/easy-flv,0.9999940915439967
administrateclouds/animations,0.9999941436509516
Yanyutin753/refresh-gpt-chat,0.9999939318280451
DHD2280/BCR-Manager,0.9999941255357725
vesavvo/design_patterns,0.9999939791279847
lgdd/liferay-client-extensions-samples,0.9999940641670183
MehVahdJukaar/polytone,0.9999930452948348
gayanukabulegoda/Hibernate-ORM-Lesson,0.9999943344043357
DJ-Raven/java-messenger,0.9999942016589826
serifpersia/esp32partitiontool,0.9999945124805041
OGminso/ChatHeadFont,0.9999941955485362
VanceVagell/kv4p-ht,0.9999843570820677
xdev-software/spring-data-eclipse-store,0.9996773681520982
catchpoint/Tracing.examples-kubernetes-java,0.9999980359359508
SUDHARSUN2003/Accident-Detection-And-Notification,0.9999944181529189
oldmanpushcart/qianfan4j,0.9999959976626882
undermad/diet-generator-api,0.9999999159314852
MaysHroub/data-structures,0.9999939791279847
igor-pcholkin/DataAnonymization,0.9999992288731874
Araykal/Open-Karhu,0.9999940828353179
KhushPatibandha/RiceDB,0.9999939904742627
openfga/spring-boot-starter,0.9999946123254833
koupleless/runtime,0.9998394886475639
1brc/nodejs,0.9999942728149904
danukarangith/Vehicle-ServiceCenter-Management_System,0.9999939791279847
970263611/redisx,0.9999986153163432
vdaburon/har-convertor-jmeter-plugin,0.9999939539848408
VictorModi/Lyrics-Getter-Ext,0.9999945945411518
IsNott/spring-cloud-security-cli,0.9999939986986448
marcolenzo/hexagonal-architecture-spring-sample,0.9999969551741301
vishalmysore/sam,0.9999940013404203
da-z/woolly,0.9999939791279847
EasyDarwin/EasyGBD,0.999994657436625
ismael221/OpenStreamify,0.9999945344799686
apache/doris-kafka-connector,0.9999942472869053
HeliosMinecraft/HeliosClient,0.9999940107339906
danvega/fcc-spring-boot-3,0.9999981050548276
Apress/ChatGPT-for-Java,0.9999939938931901
tzolov/spring-ai-function-calling-portability,0.9999939791279847
sameh-tarek/Fawry-Internship,0.9999972540624757
MobinaMhr/Compiler-Course-Projects-S2024,0.9999939791279847
Tvenus/blockchain,0.9999939791279847
SemyonSinchenko/spark-connect-example,0.9999942166201723
xielong/ai-hub,0.9999939947161587
hssy252/sky,0.9999939791279847
offici5l/MiBypassTool,0.9999940345551316
jdubois/jdubois-langchain4j-demo,0.9999942101633966
guybedo/sugar,0.999994291385489
CASELOAD7000/knockback-sync,0.9999946204243886
NovaEngineering-Source/StellarCore,0.9999940135851486
HaHaWTH/HAProxy-Detector,0.9999939998966334
ryuu9505/spring-pokemon-center,0.9999964906151172
Gary-yang1/JYso,0.9999939791279847
Keksuccino/Linguji,0.9999940250919243
chengenzhao/java-vulkan-mac,0.9999939791279847
dzaima/grr,0.9999939791279847
wch2019/xiaohai-blog,0.9999939904742627
AkashKobal/java-full-stack-developement,0.99999372568097
sviperll/result4j,0.9999972822399602
gyuwon/ArchitecturalRunwayGuidelines,0.9999940694739206
jakzo/Il2CppDecompiler,0.9999939947161587
BeiShanair/tutorialmod-1.20,0.9999915124937377
koupleless/koupleless,0.9999692869900844
alegian/thavma,0.9999941543574022
KasugaLibGroup/KasugaLib,0.9999929918815653
AkshathSai/streamspace,0.9999933602823222
RETIT/opentelemetry-javaagent-extension,0.9999986621783766
gama-platform/gama,0.9999589600749114
waboke/calculator_app_java,0.9995806126027313
ourfor/iPlay,0.9997821439055455
Poempoat/LimboEmulatorPlus,0.9999941049145851
ollama4j/ollama4j-web-ui,0.9999944890215269
blumek/aura-tower,0.9999939791279847
easystartup-io/k3s-simplified,0.9999936237609842
mmd-nemati/Compiler-Course-Projects-F2023,0.9999939791279847
aliyun/dataworks-spec,0.9999529733117675
renmeijian/HealthChecker,0.9999940581276133
EladLeev/KeyToField-smt,0.9999956800212809
MrCrayfish/MrCrayfishFurnitureMod-Refurbished,0.9999907850124339
Lord-of-Algorithms/DSA-in-Java,0.9999939791279847
coralblocks/CoralProto,0.9999978710336627
brian7704/OpenTAK_ICU,0.9999943950889175
chensheng/ddd-boot,0.9999950408262243
Kamesuta/BungeePteroPower,0.9999944795832727
H3Art-q/JNU-IS-CST-Courses,0.9999939791279847
cubk1/vapev3-opensource,0.9999939947161587
sbxte/mindustry-schematic-browser,0.9999940155207643
WMS-DEV/usos4j,0.9999770976934014
danvega/rest-client-examples,0.9999944445117966
danvega/spring-common-mistakes,0.9999938911559996
ndancing/bitcask,0.9999968051205187
reivaxy/kinetix,0.9999939859186745
TharunPerera/Fish-Aquarium-Management-System,0.9999939791279847
d1tto/Rengar,0.9999939947161587
antlr/antlr5,0.9999947729774143
Jumman04/DataManager,0.999993938396672
hollow-cube/mql,0.9999940248526031
oguzkaran/JavaApp2-Jan-2024,0.999995635648476
Rozmir-Rohi/mo-creatures-legacy,0.999994554909118
karthikreddy-7/TCS-NQT-CODING-SHEET,0.9999946163362322
Direwolf20-MC/JustDireThings,0.9999856564631638
armankhondker/leetcode-solutions,0.9999939791279847
maveniverse/toolbox,0.9999853208595226
TFyre/bambu-farm,0.9999931652822397
sidduganeshsid/Core-Java,0.9999940694739206
JaneMandy/CVE-2023-51467-Exploit,0.9999939938931901
SandhyaMadhunagula/Javalab,0.9999940694739206
naveenanimation20/SeleniumKeywordDrivenFramework,0.9999946518898144
Trendyol/kafkathena-jakarta,0.9999965853831027
google-checks/checks-jenkins-plugin,0.9999954441971302
JeevananthamPrabhu/to-do-list-full-stack-java,0.9999939791279847
Rapter1990/parkinglot,0.9999913023384408
semih-turan/The-Full-Stack-Web-Development-Bootcamp,0.9999939791279847
OWASP/www-project-netryx,0.9999987960957474
vsouzx/Events-Driven-Ecommerce,0.9999939947161587
cezarysanecki/parking-domain,0.9999416521878728
frc-862/rhapsody,0.9998665031670921
mytang0/brook,0.9999973532179267
stephanj/BM25,0.9999963281576515
sisby-folk/surveyor,0.9999691423055788
ImKennyYip/flappy-bird-java,0.9999939791279847
erupts/Linq.J,0.9999990412769643
zhushimmer/enhance-rpc-zt,0.9999939791279847
johnnyb/ntag424-java,0.999997345776435
evpl/jkscope,0.999859468726037
weilueluo/tsm4j,0.9999979092197897
AndroidIDE-CN/AIDE-Plus,0.9999939666197403
Pulikovskyy/fixitnow,0.9999939791279847
liubingmx/fast-spring-test,0.9999954482773548
jimmyjames/fga-spring-examples,0.9999973026205243
anonymous123-code/quilt-bisect,0.9999944351090088
drcircuit/wchhack,0.9999940737158044
1321928757/chatgpt-sdk-java,0.9999969699626838
mitang0320/leetcodeHot100,0.9999939791279847
segment-anything-models-java/SAMJ-IJ,0.9999943944746986
burukeYou/spring-smart-di,0.9999939947161587
MagicHarp/confluence,0.999994301349889
AndreaCorsini1/SelfLabelingJobShop,0.9999940054816073
GaoSSR/OnePRO,0.9999939791279847
Divested-Mobile/Carrion,0.9999943522535192
fzzyhmstrs/pc,0.9999941214550898
JasonCareter/fast-mlkit-translate-text,0.9999939931540427
Kehrlann/spring-boot-testing,0.9999966698667717
mariofusco/quarkus-drools-llm,0.9999942101633966
sentrysoftware/metricshub,0.9962785074210725
afsalashyana/Spring-Boot-Tutorials,0.9999970343003435
bizhangjie/CatVodSpider,0.9999940114243294
dumbo-the-developer/Duels,0.999993812589028
Incendo/cloud-minecraft,0.9999981521807978
tomalbrc/blockbench-import-library,0.9999940049441648
polymorphicshade/Tubular,0.9999910449702404
StandardSolvers/ps-code-snippets,0.9999959710921467
sayxiaoyan/XiaoRanLiu3119-TVBoxMobile,0.9999939970985255
DragunWF/Student-Admissions,0.9999939791279847
aws/amazon-gamelift-agent,0.9997882541360052
CompassSecurity/jwt-scanner,0.9999942731824327
B-Rajagopalan/CodingAtti-YouTube,0.9999945165091533
spring-tips/spring-authorization-server,0.9999939947161587
longerye/im-chat,0.9999940776983486
handsomestWei/mybatis-mapper2sql,0.9999940038356688
nkuhn-vmw/GenAI-for-TPCF-Samples,0.999994430849841
soundvibe/ha-danfoss,0.9999955467952913
MincraftEinstein/SubtleEffects,0.9999942442124781
PaperMC/SectorTool,0.9999940248406225
ColdeZhang/Dominion,0.9999853947767642
respondnow/respondnow,0.9999866871234889
eclipse-tracecompass/org.eclipse.tracecompass,0.9705195672767518
shmuelzon/home-assistant-floor-plan,0.999987407510683
GeyserMC/ThirdPartyCosmetics,0.9999942366675773
Rearth/Oritech,0.999977097402719
quarkiverse/quarkus-fx,0.9999905308257112
0Akshay/passcrypt,0.9999939791279847
hardingadonis/saledock,0.9999723043228159
aditya-dua/JBDL-65,0.9999948380522263
yubb-ai/unofficial-gpt4,0.9999938193980764
parttimenerd/meta-agent,0.999994327104296
bowbahdoe/jdbc,0.9999980592589709
codeaashu/JAVA-Programming-Challenge,0.9999939791279847
qos-ch/logback-access,0.9999993677825012
ChloePrime/AAAParticles,0.9999939592923808
lokerxx/JavaVul,0.9999939791279847
begcode/begcode-admin,0.9882520467468755
Spectrum3847/2024-Ultraviolet,0.9999922470721108
AllayMC/EncryptMyPack,0.9999940946331728
codeIntrovert/90daysOfDSA,0.9999939791279847
BREAD5940/2024-Onseason,0.9999944722436733
charmy/react-native-stroke-text,0.9999941388667383
caoccao/swc4j,0.9999936887175471
6tail/tyme4j,0.9997828049413799
extism/chicory-sdk,0.9999945101988184
std-microblock/TGStickerProvider,0.9999939876490928
alltick/alltick-realtime-forex-crypto-stock-tick-finance-websocket-api,0.9999941146057569
TiagoFar78/PrisonEscape,0.9999543333825088
biagioT/jpa-search-helper,0.9999959615574671
RobertElderSoftware/robert-elder-software-java-modules,0.9999939953783136
krkarma777/moonbam,0.9999065178123329
darksolopic/PasswordManagerGUI,0.9999939791279847
Javabykiran-Angular/161_AdvancedJava,0.9999939791279847
bennamrouche/irc-tester,0.9999941436509516
Rapter1990/springbootsecurity,0.9999990864352825
3kh0/eaglercraft-1.8,0.9999940646101605
GOLDILOCKS-DBMS/IITP_TASK,0.9999942010304459
crystoll/musashi,0.9999939791279847
AHUCodingBeast/Waiting-Batch-Bus,0.9999939791279847
shinee0401/AdminPanel_Vue,0.9999939791279847
15911075183ma/java-onnx-yolo,0.9999939791279847
sasmithx/Chat_Application_Socket_Progrmming,0.9999939791279847
w1th4d/JarPlant,0.9999946495264642
swan-io/react-native-browser,0.9999943681031036
anitalakhadze/multiple-auth-api,0.9999944718283005
xu-shawn/Serendipity,0.9996201540955366
ShafiqSadat/IPTVTelegramBot,0.9999939938931901
mishmash-io/opentelemetry-server-embedded,0.9999942308042928
miliariadnane/spring-boot-doc-rag-bot,0.9999939791279847
gradlex-org/java-module-packaging,0.9999940173904065
JAgentSphere/bytebuddy-agent-demo,0.9999940534759401
wisemapping/wisemapping-open-source,0.9999992541560426
cbrewitt/flipping-copilot,0.9999979153672008
SnowCutieOwO/Continue,0.9999941323046166
CodingGay/BlackShadow,0.9999948536466081
HaHaWTH/AdvancedSensitiveWords,0.9999943187678562
OpenCubicChunks/CubicChunks3,0.9999951528019855
tzolov/playground-flight-booking,0.9999942132224562
abhishekabhi789/LyricsForPowerAmp,0.9999940558254069
sjrsjz/vulkanite-modified,0.9999940267293574
LekKit/ScalarEvolution,0.9999940139882167
Shawnarun/DevelopersStack-OpenSourceNexus,0.9999807723273038
zied-snoussi/git-test,0.9999946282416744
MemoryZy/ZhiYouToolkit,0.9999940394724859
SatvikNema/satchat,0.9999942261532578
uladzimirFilipchanka/noredraw,0.9999944337049845
habuma/spring-ai-rag-example,0.9999939791279847
mssanamateen/OOP-using-Java,0.9999944372164878
1321928757/chatglm-sdk-java,0.999994630493985
artsiomkorzun/1brc-walkthrough,0.9999944181529189
SightStudio/jOOQ-inflearn,0.9997962988160789
SpringBootCourses/cqrs-banking-app,0.9999940717906366
tony-xlh/vision-camera-cropper,0.9999941154379326
jlokitha/group_chat_app,0.9999939791279847
sh111-coder/sh-board-msa,0.9999988923251665
Gameye98/xtrspc,0.9999939938931901
seifrajhi/Kubernetes-practical-exercises-Hands-on,0.9999781785592442
linkedin/openhouse,0.9982182599637747
eaglerforge/EaglerForge-old,0.9999947051607622
flynndi/quarkus-jimmer-extension,0.999401094689232
BreweryTeam/BreweryX,0.9999882455306398
kafbat/kafka-ui,0.9996401858282775
SSANJAY225/offline_device_finder,0.9999944181529189
Fatimakhan0/javalab,0.9999946210921618
DGuhr/spring-otel-extended,0.9999940737158044
daylanbueno/auth-api,0.9999939904742627
jzelAdmin2006/m306-TouGH-Vault-github-backupper,0.9999939791279847
iNuman/PdfHighlighter,0.9999944181529189
gayanukabulegoda/Live-Chat-Room,0.9999939791279847
codebaorg/redis-keeper,0.9999961273112665
daisukiKaffuChino/MomoQR,0.9999944344064505
ArtformGames/BungeeAuthProxy,0.999994014746577
MEEPofFaith/black-holes-library,0.9999939390807456
Missuo0o/FoodDeliveryBackend,0.9999939791279847
Fernanda-Kipper/desafio-anotaai-backend,0.9999955971488954
Naton1/osrs-pvp-reinforcement-learning,0.9999940000109937
SMGCommunity/Whitehole-Neo,0.9999932537672888
vaginessa/NPatch,0.9999939539876275
simasch/cqrs-meets-modern-java,0.999995052178374
StuyPulse/Izzi,0.9999726477022035
vivekanand-vr/javaFullStack-codebase,0.9999976333944087
Intelligent-CAT-Lab/CodeMind,0.9999941501745551
Katana-Official/XYNXposed,0.9999940013404203
filelize/filelize-java,0.9999977117055667
brenoepics/at4j,0.9999779705863254
mt1006/mc-ar-mod,0.999994041476663
wisp-forest/accessories,0.9999893449772479
jithrew/PantryMate,0.9999939791279847
N1nn1/dye_depot,0.9999914310187069
Anof-cyber/AlphaScan,0.9999939816284236
W01fh4cker/MemshellKit,0.9999939791279847
oviva-ag/ehealthid-relying-party,0.9999167192688418
mitre-public/open-aria,0.9995545850628049
maciej-MKan/chess,0.9999829459494394
wudgaby/wudgaby-platform,0.9999972408760651
jadonharsh109/IaC-Master-Actions,0.9999894759791436
NodeMedia/react-native-nodemediaclient,0.99999372881091
microcks/microcks-testcontainers-java-spring-demo,0.9999946296888941
kousen/springaiexamples,0.9999981050548276
nipafx/modern-java-demo,0.9999939791279847
manusa/helm-java,0.9999766013340065
AntiP2WDevelopment/AntiP2W-Addon,0.9999940061425994
seregamorph/spring-test-smart-context,0.9999939692034086
qos-ch/logback-tyler,0.9999984757622804
cap-js/cds-intellij,0.9999844156286612
xixogo5105/uiptv,0.9999939953783136
vishalmysore/Tools4AI,0.9999930662430772
cedricp/ecutweaker,0.9999959664883066
EvaGupta02/AESEncryption,0.9999939791279847
ItziSpyder/ImproperUI,0.9999941837140112
OmniOneID/did-cli-tool-server,0.9999945880879567
C0de-cake/airbnb-clone-backend,0.9999939904742627
nilsreichardt/gad24-tests,0.999993121253804
jon-mil-92/DisplayHotKeys,0.9999939778014487
amaseng/myinvois-open-sdk,0.9999943344043357
Shenzhen-Robotics-Alliance/FRC-Phantom-DriveBase,0.9999939791279847
appujet/jiosaavn-plugin,0.9999936639182087
ax1sX/RouteCheck-Alpha,0.999994020827653
lhccong/sql-slow-mirror,0.9999940850621167
retoocs007/JavaSysMonitor,0.9999939996550942
springframeworkguru/spring-ai-intro,0.999993838686699
Parcheng/combine-java,0.9999876213278205
trinodb/aws-proxy,0.9999687174962206
SpigotRCE/ParadiseClient-Fabric,0.9999940797821819
quangnguyenvn/JSON0,0.9999942841613789
HChenX/HookTool,0.9999922897330822
Lambdua/openai4j,0.9999856892567079
ZahidFKhan/Streams-API-Practices,0.9999936811793707
beyond-aion/aion-server,0.9999957192971358
lavalink-devs/youtube-source,0.9999925547471772
xdev-software/testcontainers-junit4-mock,0.9999839427729902
826148267/cjml_server,0.999994337135751
jd-opensource/joylive-agent,0.9999812627467258
ahmedaliibrahim01/TourismAgencyManagementSystem,0.9999939791279847
halilibrahimsaltas/TourismAgency,0.9999939791279847
Keremyardan/Tourism_Agency_Java_Swing,0.9999939791279847
5cmc/grim-trident,0.9999940356060739
Thoroldvix/youtube-transcript-api,0.9999981202778514
WolfLink-DevTeam/lite-etl,0.9999939947161587
sahilshelangia/system-design,0.9999939791279847
eclipse-4diac/4diac-ide,0.9979855364308249
Azure/azure-event-hubs-emulator-installer,0.9999942610750394
GeyserExtras/GeyserExtras,0.9999941353991993
ChunhThanhDe/Leetcode-Top-Interview,0.9999939791279847
FileContainer/iAdb-api,0.9999939791279847
garlic-bred/easy-bedrock-breaker,0.9999942224636452
YunaBraska/streamline,0.999993419216109
oussemamansouri/Labs-Spring-Boot-for-campusna,0.9999939791279847
harryjackson/llm.java,0.9999950743013588
OmniOneID/did-common-sdk-server,0.9999944751607202
Gayanukaa/companyA-backend,0.9999944840250945
yangfeng20/ja-netfilter,0.9999939947161587
LizeRaes/feedback-analyzer,0.9999945343793755
galliumdata/adumbra,0.9999939904742627
GPTScan/GPTScan,0.9999940088415902
danvega/spring-into-ai,0.9999940581276133
dromara/MilvusPlus,0.999994292544437
thedarkcolour/ForestryCE,0.9999914596644669
sepgh/testudo,0.9999942308144402
Kei-Luna/LunaGC_4.6.0,0.9999937196669934
spartanoah/acrimony-client,0.9999940089554207
Alireza12ss/Alinkedia,0.9999944487199957
Krishna18062005/Problem-Solving-Day-101-250,0.9999941323046166
Netflix/maestro,0.9954056159380654
mpi-sws-rse/jmc,0.9999814144979734
apache/spark-kubernetes-operator,0.9999519451499126
jazzytomato/intellij-hurl-plugin,0.9999939376852802
karatelabs/karate-js,0.9999875078685142
Alexdoru/ExampleMod1.8.9,0.9999939791279847
stephanj/rag-genie,0.9999951286861349
